id,mode,scene,hierarchy,source_sha256,source_utf16_length,translation,review_status
il_ca8d2953ca62d5b0,exact,*,*,869c4a0a5b08ce15e329e8fef8b412c29c19ccf407e18d434bf9769a71992e30,35,ATK 用于造成物理伤害。,approved
il_6dc36c988813e038,exact,*,*,447532b527be8a1224eba05d798c0d0b128dda5c4499ef07feaaadac5c7d38c1,47,AVO 用于决定攻击是否落空。,approved
dialogue_map8_0008,exact,*,*,b76e148c2984ce392cb7845a0311bd7dc5dd39eef95a59a2b565b8fc7c4f1885,5,啊！,approved
il_e299251dc299254d,exact,*,*,f4b2cbd25f5d60d171635023531a0934275bff53c42f7f520378b0f2e2af8d93,55,饰品会提升属性，并可能拥有被动技能。,approved
dialogue_map11_0007,exact,*,*,907c5eb693ce059d4b451245ec4d3f0053abbe5164094043c6a449bcfcf4ab01,66,啊哈！蒂尔德！我的小女巫，这本书待你怎么样？,approved
dialogue_map5_0013,exact,*,*,575198dc8478056adbfbae5be45b4ed473d8709d4c96a1d918d65c55d223757d,166,啊，用这种方式施法，让我想起巅峰时期了。不过先专心对着水晶。记住法力流动的感觉。深呼吸，集中精神。,approved
dialogue_map9_0010,exact,*,*,929da1c0644f308840502ac2f5685ceba090a852141384f3679c860e2678c0c3,252,啊……难怪你这么适合侦察这些遗迹。那听起来很疏忽……他们就不担心你在树林里遇到什么吗？尤其是你还不知道怎么使用魔法……至少有监护人陪着你吗？,approved
dialogue_map3_0021,exact,*,*,00ff6c8a4521e7835663b42d30c7aefaa0f9c8525faf772707f04f6b2e157e39,60,我只要替你解开这本书的锁链？,approved
dialogue_map6_0003,exact,*,*,3642255e10cbac64aabaa030c4319aa1336de4a47359038e2ca2400e283cdf92,133,那些小冒险家，一个个胆大又天真。这本书不是孩子该来的地方，蒂尔德。你不该来这里。,approved
dialogue_map1_0008,exact,*,*,0a6b922621528e3d6405f218908d5d1bfdfea014aca5e19a4e110464c3d33586,122,学校里的大人都说我有‘魔法障碍’，其他人都说我笨。我来这里是要自己解决这个问题。,approved
dialogue_map2_0016,exact,*,*,b6bba6dd7fa06e552ffc4759b53fcd63c54810b4ad40a69f1c19d5259dc9c8ef,45,好吧，那下一间见。,approved
il_2366ef63760bef0a,exact,*,*,4d8357a012e7ce000781115d20bda7da7f015976d330b922005eafa6b1bff0fc,26,有其他地图可用！,approved
il_4bdab065123a7733,exact,*,*,dcb96a246a0272dc3f7bb777cb7aa073b4056d2aef0e6b02d10e6dbb8b631dfb,44,与装备武器绑定的主动技能。,approved
collectible_meta_14_shortName,exact,*,*,f8b10ac1b7ed01e966a724110c8582bbe60473b5221ab44db0f1f4abfb54648d,12,古代技术,approved
collectible_meta_14_inGameName,exact,*,*,665cca69024834013fecad80fb9fb4e806bfe8ac9f525b0982db07c093ba5b1e,31,羊皮纸上的古代技术笔记,approved
dialogue_map4_0018,exact,*,*,f5f717dc3232b84b40e66f39e720daa4ecccb07d6524b8a7bbb9593836cbb020,66,你从头到尾都没怀疑过这情况不正常吗？,approved
dialogue_map9_0006,exact,*,*,a9f3ce9d9cb39204d6a59e1dc03695c4362ef5f791fb0be1bb31cae11b3dcd4c,145,你妈妈总是出去找食物，有一天你不小心走丢了，再也没见过她。今天就是我们找到她的日子！,approved
collectible_meta_07_inGameName,exact,*,*,5357f829e4287033ff3f6b23e93bf2e561203140f1722ed309977c9eb9ae1bc4,18,带注释的魔法书,approved
dialogue_map3_0012,exact,*,*,38cc815bafaa369df582729806f9666f213afdb1f523fbeca4745e670140fcf4,38,你就是伊克斯说的那本书？,approved
il_3be49c2625c4032c,exact,*,*,ca14c3c25f9506c88ff8e25facb2a43216eedb4d536a1eae09616fb28100edb2,37,护甲会提升 DEF/RES/ACC/AVO/CRIT。,approved
level_02_flavorText,exact,*,*,f3f80d1f0e6bc6096fc2c84ba7d9936c17b4a112fe4ab577fd3638e49d03fd41,83,与高难度读物相反。就是你本该读的那些课本。,approved
collectible_meta_11_shortName,exact,*,*,5118f76d9067edc593d6946b88693cefa6604c7e613111193db118166d4af589,8,背包,approved
collectible_meta_08_shortName,exact,*,*,4a963bc2fea4ae355ebe5a7266df9062035f125931c4b7022bf306367c2f526b,8,怪物图鉴,approved
level_09_levelName,exact,*,*,e8d0756367397bca95e9d75276fa497f52ca8f1d23e722b8b071e2c7a8e35fe7,21,读得好，死不了,approved
dialogue_map4_0005,exact,*,*,764eea6227a48a5a0eb8ef384919f1d982d21bd4b5f27f8989db6525ba33a082,15,呕呕呕呕……,approved
level_13_levelName,exact,*,*,49f287879affcaf1e82dd6858d3feb2728da82711fa7fdb95d3a2a269569e3de,10,拔腿就跑,approved
dialogue_map4_0032,exact,*,*,458e8cf6a9cd8472d1d5bcb013c39f75cf78e21569ff8187834a1bcdb125a358,112,太好了！谢谢你，蒂尔德！接下来一直往前，找到能把我们传送出去的符印。,approved
collectible_meta_01_inGameName,exact,*,*,f51830f2e15cfc1a260906f2c17ee9304f382fe3053dec9776dbff04c75a924e,8,宣传册,approved
dialogue_map5_0004,exact,*,*,ce193ab77552d2ec11ada4bc5e424fa7407e2403cf4cf84b16a89df864182226,123,可我不擅长魔法。这些像学校里的训练灯泡，只是更老的版本。不会有用的。,approved
dialogue_map7_0011,exact,*,*,09a4e0377b8fa68a65a9ecae13ebcf4db93d3bb5f08877df35782bf4679e3ccf,92,不过等我回家，也许可以去某个有很多路灯和酒馆的地方露营。,approved
il_31b97c1a1813ef0f,exact,*,*,a9d43249d2bd7fb53831e93c604db340d73bf657cf3fe9a5004e1c10e828d0e8,62,CRIT 表示单位发动暴击的概率。,approved
dialogue_map3_0006,exact,*,*,44c6aa314f5ff0c40c37dac11ec0d4e3a791d26025ef68ad4d7e06a9f58614e6,24,聪明的直觉，孩子。,approved
il_c89130a87907d6ab,exact,*,*,2c0e7663426818fef5c3271274ba6986bf078c2305e8fa39bd435ae515c3de7c,17,收集全部笔记,approved
il_24ec443f9c52a7bc,exact,*,*,d51b364f393fc835b1481aabd862e83a523d8f2baee0a80d9e412908d88f6156,18,完成关卡,approved
il_df28ee4f503bbcdc,exact,*,*,c4e510a9090fbec65d8801436f57478e8a25aa5bde238956fa071c5bfab43977,37,DEF 用于降低物理伤害。,approved
collectible_meta_11_inGameName,exact,*,*,afbdf9291a5acb8c93e7956424aa25e16d346ccdcac37f025aa5b812701a609c,23,死去学生的背包,approved
il_8d42077ce6eb1d87,exact,*,*,5c90dc98e5513fff72817b4dbbc5bf329f192f0f8f1e73d6cbb1e783d4ac8059,18,调试模式已关闭。,approved
il_f3cfec887d3894ae,exact,*,*,4f3925384368d193c83c925ecb71de40e3db29faee4f2954a27b51f7af8127a9,17,调试模式已开启。,approved
level_12_levelName,exact,*,*,a9f01ea26ceb65d96c4a7fde03c73f9ec11e3a2779eff2ff82834d713de5eeda,22,杜威死亡分类法,approved
collectible_meta_02_shortName,exact,*,*,ecaa4e37830a9fac31e2f2c57efe1917b090fae316218833fba04a1654d46524,12,日记页 1,approved
collectible_meta_02_inGameName,exact,*,*,81893095ffb809fe4af2d0355f2ed509469b31426c88d269ac6b86d88036afae,23,日记页 1：酸面团,approved
collectible_meta_03_shortName,exact,*,*,099dd821d01553a01a0ca0b0bd682a9cdb148c4744dccb2c48f7cbeb384412db,12,日记页 2,approved
collectible_meta_03_inGameName,exact,*,*,e4bd2505555c86dc55f5831d083a127560e18de5da2f42013d1a9d38990a6135,25,日记页 2：餐具套装,approved
collectible_meta_04_shortName,exact,*,*,1f92921fad6b067a5cd2aefab904bcb29a71929cafa9ae21362c2bf6c8f1d31f,12,日记页 3,approved
collectible_meta_04_inGameName,exact,*,*,62f431a7aad112d8f45eb2bdf1a137a55cde96761ec34413c3c1007a878ab051,33,日记页 3：常年泥土芬芳,approved
collectible_meta_05_shortName,exact,*,*,26ff00dd1e20ab3d5cf253af7c8db0db42ec38e4c477753cbece8155999eee11,12,日记页 4,approved
collectible_meta_05_inGameName,exact,*,*,052b837a4da1625a8f764d7dfbfbe05f38a3c6cf1f6747c06f9d0c26fecbe6d7,30,日记页 4：储藏难题,approved
collectible_meta_06_shortName,exact,*,*,36b307485e4af7bfa12111c267952bb239d84b49844ea32a66120c8273b504a2,12,日记页 5,approved
collectible_meta_06_inGameName,exact,*,*,ace7fd811ea7d239c803d3827f41a0a6ea3788a6376e5b04022ea930c4480fac,28,日记页 5：苔藓与树木,approved
collectible_meta_10_shortName,exact,*,*,d5506956a95d25f37263f76acb5fda53bbbcbff1caa4309fd06f7c17d2df3836,12,日记页 6,approved
collectible_meta_10_inGameName,exact,*,*,a5528145f24386ec102e0c50098800bc5b9e25dd37cb5ea4e352e090a786a287,27,日记页 6：进一步记录,approved
collectible_meta_12_shortName,exact,*,*,9a2a13147653ec201404ffb43489c01766b75527b8d9821eea8b306378678bb7,12,日记页 7,approved
collectible_meta_12_inGameName,exact,*,*,696da36f675d5ef87be4c62a657828178ea5776a1c94a0f67f1f073cb83b01e0,35,日记页 7：铭文笔记,approved
collectible_meta_13_shortName,exact,*,*,00af4bfc7d2509e082e4441cd3db2546b5db430b09dc013a7daf2d7ec5727dbd,12,日记页 8,approved
collectible_meta_13_inGameName,exact,*,*,6eed2d977b45c8cce0199547e7a1c2f9f59265b2903cbe6a32251e7b72393864,36,日记页 8：官僚余波,approved
collectible_meta_16_shortName,exact,*,*,591385c22869df94955d6b05668d0677de783c0f9e8d1e353fce811eeccaef0a,12,日记页 9,approved
collectible_meta_16_inGameName,exact,*,*,b64d04d1c007fba6da674561327a15b252ace5c77838a1acf765dec91b32c2fa,34,日记页 9：他为什么就不能听！,approved
dialogue_map2_0009,exact,*,*,e946a9cea01d1507ab7795d736fd4ab5c2ccdc064aaf5d80e830d748a7587f2f,20,你有灯吗？,approved
dialogue_map1_0014,exact,*,*,8136d421d184d35aa89ca5575e4680caa511cf9ccd94342cc79b816f62f61511,63,别担心。真有什么东西威胁我，我带了支笔。,approved
level_01_levelName,exact,*,*,8022c5280112c8427e9d6f8a8b2b7408973473823957cce26e839cf81538f3a7,15,失<i>咒</i>症,approved
term_Erratum,exact,*,*,4066060364e27e5be30e5e6718054b7d383699d0c95995b2b964b0cab56b4880,7,Erratum,approved
dialogue_map0_0006,exact,*,*,b8ce6bbb586d7300e04511cc106e12257823ffd1e205d5bf9b56dc209e8d520d,29,打扰一下，穿紫色衣服的那位！,approved
dialogue_map6_0006,exact,*,*,4e53482fbfca4013be87add9a0c7b07ba0ee33a612654b72898bb46ff27ea759,118,你说什么！想都别想。我绝不会故意把任何人引向死亡，更何况还是孩子！,approved
dialogue_map1_0024,exact,*,*,52f3a3162cb98aa115ecb0b87f950a19784192b6690e7bd852a4baa1f93a26b2,9,火球！,approved
dialogue_map0_0013,exact,*,*,f0600c0a6faf7cb6a5c01e2a73b70ee428bcfbff1ec2c007dad0a906f26af938,117,先试着走动起来！（可以用 WASD 移动，也可以在设置里使用屏幕控制。）,approved
dialogue_map7_0008,exact,*,*,664de8f1b175224ade8f2031be871e8d8cdbecd7e74f4b879a1ea421eefd8e04,157,很长一段时间里，我的笼子保护我不受野兽侵扰，但锁具生锈坏掉了。我被困在那里，直到你出现。,approved
term_Forbidden section,exact,*,*,c156f267ca4ae2fd271dab9f02184b63eaddce14926984e131078dc68504fff8,17,禁书区,approved
dialogue_map11_0044,exact,*,*,69f8178fb31125ebe42914c44691692c6fe052634d2e7f4356f13c1609483e46,4,快走！！,approved
dialogue_map0_0018,exact,*,*,90a074f1dd61e9759c7f4b7d18c428a38a08e5b3dac294abb135034e8b8afa60,92,观察得不错。这间屋子里你只需要知道这些。下一间见！,approved
collectible_meta_07_shortName,exact,*,*,ed732decaf98b870aa53ff7a03bf2fc76905de8a0f877bf11a591694ff67e592,8,魔法书,approved
dialogue_map11_0021,exact,*,*,9cc31f92305837feeef2e662ad5d0b3c2e39603205984b31f9e0ad3210c742ae,13,喂！起来！！,approved
dialogue_map9_0005,exact,*,*,59db37d777aca3747ddfa0d06fcdeb0c21dcf9e34d65154d6a0ef33626eecf59,34,哈哈……这确实是一种说法。,approved
dialogue_map9_0007,exact,*,*,2bdb046841a838eed4f72ce162e2ac59462252f89bbc2f95033bcbdacb55df30,12,哈哈哈哈……,approved
dialogue_map11_0022,exact,*,*,716b2147f9791901c2f49bc4cb2e1824c1ffd016d84c1cfa3e30323c26b94975,7,嘿嘿……,approved
dialogue_map11_0005,exact,*,*,9fc60ec9620ded8416875d2fadabb8fcb2b9232015fc9846a3877f320c0c8ced,13,嘿嘿嘿嘿……,approved
dialogue_map3_0004,exact,*,*,02f2f036ca8c172bbc3280ed5b16a1a0ae1196aa25609377b1b30618b7829bfd,12,你好……伊克斯？,approved
dialogue_map4_0012,exact,*,*,1ca4121225292966ebc015f940a7b77d00106ec89e3870e3eec6cb4f5878a180,13,嗯嗯嗯，你好？,approved
dialogue_map8_0015,exact,*,*,5c74d6158622259f929196d79b3d8db2b98c29e1f096e060226d4c82f916a292,158,嗯……地板上的这些符印……它们像开关。试着对那些构造施放光，这样尖刺就会缩回地面。,approved
dialogue_map4_0021,exact,*,*,ff4afd0410d778e19a21b00821ddfbc032f68e89c3c29d8c10b8da21f9a1c009,72,嗯……好吧。我叫韦兹古斯。蒂尔德，你有没有受伤？,approved
dialogue_map0_0005,exact,*,*,b7e4c8eb66649d09f89abbf7b157b91cc6c10127b310d43a71bb13712e5fd878,17,嗯……接下来去哪儿？,approved
dialogue_map5_0003,exact,*,*,73c9024f909237505b7335d90f09d09f5bba4596f01120587b8d88ecbe75b0b1,294,嗯……看见那边了吗，蒂尔德？那颗发光的水晶是 Lux 水晶。你可以用它作为魔法导体。集中精神，就能照亮周围两步半的范围。不过要小心，等你走到光的边缘时，它就会失效。,approved
dialogue_map4_0016,exact,*,*,f82a25701202ed0f5647708781453f3a8625df739a4754d91b625d357c37dd64,21,你是怎么到这里的？,approved
dialogue_map1_0013,exact,*,*,ce78ddee2788ce16913e7d8b2ea3dc65559e3c7a8fe6f50e2a66c0d7821979ea,168,不过，他们全都住在这间屋子后面。答应我，离危险的东西远点。我想我能给你看一样能帮你解决问题的东西。,approved
dialogue_map5_0005,exact,*,*,0e6ec1c05376aa164a469f92b5fe0a833754e3e89f1371496d1a2322020beb7c,198,我可以帮你，蒂尔德。让我把你手中的法力引导出来。我很擅长魔法，只要顺着魔力流动，点亮水晶完全在你的能力范围内。,approved
dialogue_map8_0004,exact,*,*,91aac1f332fb6427b2a27eb097d2c947fb1a39645b3dfec5a65c85c5feff16d6,82,附近没有多少敌对生物。我觉得在这里探索应该没什么危险。,approved
dialogue_map3_0005,exact,*,*,6f90a82c66b8eb17671724d3806a6103068162f547e882f2c93f5d1d7fc8e98b,73,我没看到更多符印了。神器就在这里，对吧？,approved
dialogue_map10_0006,exact,*,*,33c5b121202017831be200899c0be600ab8f322a05d0881be083d7e455ded847,27,我讨厌他们，而且他们身上有股味。,approved
dialogue_map8_0016,exact,*,*,d02848652ee53eed664d915a5305f15fd36cd0ac820e9ff479c7092a873f990f,69,我得追上他们！这些尖刺陷阱拦不住我！,approved
level_11_flavorText,exact,*,*,30b8476d529edfafedd64fad4a6350881ebbdaad18078f9fdc5867c2324d8703,34,我听说终点有奶酪。,approved
dialogue_map3_0019,exact,*,*,987e742561c2649605bf3c56aa007dcc89f95a2e916208bc53d1c9ebff1a7a82,58,我拥有巨大的力量，而你，孩子，拥有无穷的潜力。,approved
dialogue_map11_0039,exact,*,*,c155cc15559c9707b8567e9ec8f0395b202fb4be8184f859f4335e85197567e7,75,我以前不知道那个构装体能启动，看起来很危险，蒂尔德！,approved
dialogue_map10_0009,exact,*,*,944090e18474d65e6b4431d6ffec13ef4dbbf9ee9d136e84865f896bf8c02bd0,114,我明白了……但这不是你粗心大意的理由。小心点，提防他们还有别的花招。,approved
dialogue_map2_0019,exact,*,*,8a6aba8b172b89a570921c5d787ebf53cd9b74da7739f34c0feb80914d26412f,58,我还是得小心那些潜伏在周围的东西。,approved
dialogue_map7_0009,exact,*,*,407fc3d77d7ef0cdcd58709bd4bbe271ba60f7293d8356484e0cc1d7c782b605,114,如果离开，我或许会想念这里，但我不认为谁注定要永远待在同一个地方。,approved
dialogue_map9_0011,exact,*,*,54e259928fe9d39f690d5c0ef6a687dfd2d5771afc2ee902fd3475633c418d8c,179,我想那是我爷爷的地，他们知道树林里没有绑架犯之类的，所以我一个人在家时，他们会让我想干什么就干什么，超酷的。,approved
dialogue_map8_0006,exact,*,*,54981c2b41d4d6be233e6aa858efaae55ee7c907eae9b70dec94d33e69def358,46,那是伊克斯吗？！你这个混蛋！你对我做了什么？！,approved
dialogue_map11_0006,exact,*,*,db61d3ec27b44dea0dfc4a10adc581b7b9ace1ad5f4cdef992c7ef1116f1c68b,5,伊克斯！！！,approved
dialogue_map3_0017,exact,*,*,713cd472410b7964f5fe747938a1f0d730310a39177b4f711d556cb3d7135bd9,68,只要你有办法，我就想亲自试试！,approved
dialogue_map4_0008,exact,*,*,67e8dba8f2c83bf748c498590357f7a2749d14daf6830c1cb3607ec6179b4deb,79,如果这里和禁书区一样，我不能待在这儿，得赶紧走。,approved
dialogue_map1_0012,exact,*,*,b06da238095a484ba11b88ccc853c323932a0396b94d363b881346eb6bf73da4,157,有意思。你要问我的话，你离笨远着呢。事实上，来这里搜寻并获得强大魔力的聪明人可多了。,approved
dialogue_map4_0013,exact,*,*,54aa6ab54cf759176208641dafab82992196da047b947b5fea45db226d4c3f85,17,有人在吗？,approved
dialogue_map1_0006,exact,*,*,6aeca47cf9301ed768e802ca304d2d9c9f1c952867e5bd88aa7bf85c2b593465,43,你是不是不太擅长这个？魔法？,approved
dialogue_map3_0003,exact,*,*,6d9af2c96f69faccc592f2392b3cc6d058c1a6de7a350a497df8ce1b85d41240,41,禁书区到头了吗？,approved
dialogue_map5_0014,exact,*,*,8f041973a57194a2074e60675fb509d60f3ca455b3d6fb1e31c5341b501c54c1,42,感觉全身像针扎一样。,approved
dialogue_map1_0010,exact,*,*,60926f33d178057f521a1946816d043d25709b9dd546eb76865ee475dcd11da0,250,就是说我的魔法技能落后。我怎么都使不出来。爸妈把各种能让魔力流动起来的办法都试在我身上：治疗、药物、MagiKoomon，全都没用。其他科目我的成绩都不错，就只有施法不行。,approved
dialogue_map11_0043,exact,*,*,da4aa91623e5f701a8d7f244d02f8711ceb263fb40417b64878e88c27b62aad6,57,它越来越近了。哦，看起来它出的是石头。,approved
dialogue_map2_0014,exact,*,*,70750482478dde617f5c933049115c07a5a8782dced72b1009473a11a54f8b64,43,只是一本记着些顽皮小秘密的书。,approved
dialogue_map0_0015,exact,*,*,034cc0d60469129a70a456bf6511445774d74b006761d8005dea25d946c4a5d9,51,这和在外面走路没什么两样，对吧？,approved
dialogue_map7_0003,exact,*,*,cbcdef59718455bb23573c6e8f29b2f5478821a8bbb452a39195cbe8f2b5bb53,183,刚来不到几小时才会觉得诡异，蒂尔德。再说，我以前也试过逃出去，但没有进一步的帮助，根本走不了多远。,approved
term_Ix,exact,*,*,06f6c059006922bd5179c1bb63f89595d4c35244ae34af91085396797817aaf9,2,伊克斯,approved
dialogue_map8_0019,exact,*,*,6dec4aae32ef613dd52c7820d9ed7cc8d2f466cf6fc84a9d6b21cdd98caad5e0,112,伊克斯！就是那只坏猫头鹰害我困在这里的。找到他们，他们就能彻底带我们出去！,approved
term_Key,exact,*,*,99a52df3ff3d499488e2fa28150c4106a2cb5e928891a830a9aa3922b2d32160,3,钥匙,approved
dialogue_map11_0008,exact,*,*,dff381b05a736892c926c27b87e8715b8f1418c11ad8f4b66d5b87e46beffd61,19,放我出去！,approved
dialogue_map11_0024,exact,*,*,d8c5eea3852781b45885d07d6e47a14a1cbaed6537bbbcf8b799220e52c059ff,38,那我们来玩一场猫捉老鼠吧。,approved
il_ca9852c8fff6e1f3,exact,*,*,7e2a00e312ffbec38b9248a245d88fa443093f7c735c67b91c2f45dffc6810c8,45,等级总体上体现单位的力量。,approved
level_02_levelName,exact,*,*,6caecbb2fe740d58e174bfb0e4842d2e1e72a5ced5acf207e4bee0b86bd8c951,13,轻松读物,approved
dialogue_map4_0026,exact,*,*,1ed1e0b05599d212d0cf668e23f3acadc3da20344f6d6962211538468cbe7b61,207,听着，蒂尔德。你把我的笼子打开，我就能帮你找个安全的地方暂时休息。我保证不会把你带偏，但你得快点，危险的东西很快就会追上来。明白吗？,approved
collectible_meta_00_inGameName,exact,*,*,8a5dbba8288b8325c30ddd0a0e3d255731ceddc1c1bbfc3c6f5d770af5ed6696,9,借阅卡,approved
term_Lux,exact,*,*,726b98a2ea0c3f1e679dd06cb28d6d26d9521c5c413b7611bf05af93ac0669d5,3,Lux（水晶）,approved
level_05_flavorText,exact,*,*,103d974673075e90f24d378d0ad835d8536344740f3a8e0e5b412c30c0dca4ce,43,Lux！保证让房间<i>亮起来</i>！,approved
il_f3aa1d6015c77472,exact,*,*,a4791bbee6872775708f00994a2d3fc5c5c0520ce03c207b61e75c73e84981eb,57,MVT 是单位在回合中可以移动的格数。,approved
dialogue_map2_0015,exact,*,*,8dcf91cad2b2151de0c18a8dc18bf1fae69d602af71d37f93bcc19319a802d94,76,魔法就是充满惊喜，你懂的。我可不想再给你提示了。,approved
dialogue_map3_0016,exact,*,*,04f8bfba92bdbdf3e7c3db5e615b36bd59d4a43cd98fb3b0ba2827e0d062b2ed,130,魔法！我想学会提升魔法的方法！我总是做不好！试过的补救办法没有一个真正管用。,approved
dialogue_map1_0009,exact,*,*,276adede523c571e15381aecd51801c5ace7b4f7e6c62f15a5bdaf9d342e38c2,54,‘魔法障碍’？我没听过这种说法。,approved
level_03_flavorText,exact,*,*,d29c3ca68bae8dce33293a8dc6b8c90c517fd5a35bee0accf0ba02975d16d93d,64,先确认自己究竟同意了什么。,approved
term_Masked Owl,exact,*,*,1767b3ae039f37cbddfadf9cef1557f42669438090156eb7612f588fbefdeaf0,10,蒙面猫头鹰,approved
il_f266032ac26b5fcc,exact,*,*,cd5c4887d179468b18a324269212a51f4fdff9c0e20091bee89bc54830cb5063,24,有多个地图可用！,approved
dialogue_map9_0009,exact,*,*,bfe1dc7de323b095509711275a36a8b2ba39dd29e49c82556b26bc86aeb9b4c4,105,我爸妈糟透了。他们不常在家，所以我通常会在他们宅邸旁的森林附近探险。,approved
dialogue_map10_0008,exact,*,*,65472ca7ba989d1d57014acebc114cd2fd311d7e27eac1f2dbb3d9222b166c0e,45,才不。我大概能把他们一脚踢飞。,approved
dialogue_map2_0010,exact,*,*,7bb488847b951689533b4eceafaa41b26451ee9335915c0ac5750b0a3fef89e6,56,没有，我正努力戒掉呢。不过，我可以帮你一个小忙。,approved
dialogue_map0_0016,exact,*,*,54427cd0ce4a02aafde53afd97abad7832315cd77fa35c21b8dd9e3488c66b69,123,完全一样。走过<b>钥匙</b>就能把它们捡起来！再用<b>钥匙</b>破坏这些<b>符印</b>。,approved
dialogue_map4_0022,exact,*,*,32d84b37969af12e725a369bd4cb5dc5897e47d3c0d1a7ace1299829374311fc,76,不严重，我能走。这也是帮我练习魔法的训练吗？,approved
dialogue_map1_0026,exact,*,*,51a86b94a69fcdd43d771acef32a129bf2f2d4972fa1ef553286de8321731ece,10,什么都没有……,approved
level_07_levelName,exact,*,*,80c2f4e987438cd1be913fc5f9b1f4f7e9a9498b6762a86c64b5be6d322223ee,8,数字砖墙,approved
dialogue_map5_0010,exact,*,*,506a0b560ed680000e08847c4109a20ec1200e988461514cdac6eefc2a2c0f9c,8,看好了！,approved
dialogue_map11_0023,exact,*,*,55b5e099d0772552263629ac1249c12367a4ba9c2cd1855f21c6f799de192004,26,哦，太好了，还能用……,approved
dialogue_map6_0009,exact,*,*,e40edb85075baa937f82baa346608dc8c5134f4610ac1a913e43b6152cdf3fde,124,够了！被带到这里的孩子那么多，你绝对是最吵、最烦人的那个。,approved
dialogue_map9_0013,exact,*,*,0fda4ef742ef14ee69a2ab54579856cfa6e1b197317ea7dd49c847a2cb7f150e,20,哇……算了，没事。,approved
dialogue_map1_0022,exact,*,*,56723edcd935d4765276b152e8e4c03990edd9dd87863122cd85cddd74eb37ea,3,哦！,approved
dialogue_map3_0018,exact,*,*,f5bd78082f06ceca73d35f919dc176d79812bc047311b33d7b2bd327789037a2,65,我当然能帮你。事实上，我们可以互相帮助。,approved
dialogue_map2_0007,exact,*,*,0caba130ac888ddbeaa182ca3df41d6e447758ba24cab7fd976a392b18a506b2,46,哦，我就知道你不用魔法也能做到。,approved
dialogue_map0_0021,exact,*,*,d29d5705a3e149712400a87c390b61a08889aa1361ed6172086bedf6f7b34de6,29,好，我这就追上你。,approved
dialogue_map3_0022,exact,*,*,9861c47ae2790688273672b03cbb884020753f220823cdca6e249aa1d6ad1525,56,好，但你最好说话算话，书！,approved
il_4996075220072092,exact,*,*,e432dac5a2d6f8b988bb3591ad086cc15be6f4f38ef7ebbabcbaa2d9572fc39d,42,从职业学到的两个主动技能之一。,approved
dialogue_map9_0004,exact,*,*,fad8ec7704e4db28c99eeb97ea0d5eb9a69b553e0d27b3b34a6586d46825366e,180,哦哦……等等！也许这里就是你孵化出来、被虫妈妈养大的地方。那时你还是只小宝宝，只会吱吱叫，所以才什么都不记得。,approved
dialogue_map0_0008,exact,*,*,9cef5641ca460407e5ff070807ec3aa0e6372c325564898fe01ce74949598d10,10,在这边！,approved
