id	mode	scene	hierarchy	source_sha256	source_utf16_length	translation_base64
term_Ix	exact	*	*	06f6c059006922bd5179c1bb63f89595d4c35244ae34af91085396797817aaf9	2	5LyK5YWL5pav
dialogue_map0_0009	exact	*	*	07523592e34c7cd3040e26abcc0edef939ee742943986e2bf83a132375b01244	84	5qyi6L+O5p2l5YiwIEFSQ0hNQUdFIOWbvuS5pummhueahDxpPuemgeS5puWMujwvaT7vvIHkvaDlj6/ku6Xlj6vmiJHkvIrlhYvmlq/jgII=
collectible_meta_03_shortName	exact	*	*	099dd821d01553a01a0ca0b0bd682a9cdb148c4744dccb2c48f7cbeb384412db	12	5pel6K6w6aG1IDI=
dialogue_map7_0011	exact	*	*	09a4e0377b8fa68a65a9ecae13ebcf4db93d3bb5f08877df35782bf4679e3ccf	92	5LiN6L+H562J5oiR5Zue5a6277yM5Lmf6K645Y+v5Lul5Y675p+Q5Liq5pyJ5b6I5aSa6Lev54Gv5ZKM6YWS6aaG55qE5Zyw5pa56Zyy6JCl44CC
dialogue_map3_0031	exact	*	*	09e8ffbdda3b094ab9ecc7cc80fa035f7e5a391402770fae87506331901cec8c	25	5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI5ZOI77yB
dialogue_map1_0008	exact	*	*	0a6b922621528e3d6405f218908d5d1bfdfea014aca5e19a4e110464c3d33586	122	5a2m5qCh6YeM55qE5aSn5Lq66YO96K+05oiR5pyJ4oCY6a2U5rOV6Zqc56KN4oCZ77yM5YW25LuW5Lq66YO96K+05oiR56yo44CC5oiR5p2l6L+Z6YeM5piv6KaB6Ieq5bex6Kej5Yaz6L+Z5Liq6Zeu6aKY44CC
dialogue_map0_0014	exact	*	*	0b323a2405a94c055e491d64222b12023b68f6df19b53186fca229e5933036cf	101	5pyJ5pe25YCZ77yM6Iqx54K55pe26Ze055yL55yL5ZGo5Zu055qE5Lic6KW/5oCO5LmI5Yqo77yM5Y+N6ICM5piv5pyA5aW955qE6YCJ5oup77yB77yI5oyJIFNQQUNFIOWPr+S7peWOn+WcsOetieW+heOAgu+8iQ==
il_a54d85eefbc6b46d	exact	*	*	0c97c00699ad8bbc763a08dceb1e49c9a06b9f8998f4a4956636556ae10b0028	29	5Y2V5L2N54us5pyJ55qE6KKr5Yqo5oqA6IO944CC
dialogue_map2_0007	exact	*	*	0caba130ac888ddbeaa182ca3df41d6e447758ba24cab7fd976a392b18a506b2	46	5ZOm77yM5oiR5bCx55+l6YGT5L2g5LiN55So6a2U5rOV5Lmf6IO95YGa5Yiw44CC
level_04_flavorText	exact	*	*	0d34d40a56d8df0c4e1041007a4dd4d715f0ecc36218b42b11ada3baceb30dad	19	4oCm4oCm5aaC5p6c5oiR5piv5LiA5p2h6KCV6b6Z77yf
dialogue_map4_0024	exact	*	*	0e004452ccc310386e6f339f79ab3e75a8adf0fdcc5b732501be3276c4ec7942	30	5LuA5LmI77yB5oiR6KKr57uR5p625LqG5ZCX77yB77yf
dialogue_map2_0006	exact	*	*	0e1291601eb690ed2283c7e6ed9c847e4780f68aa256684019282b122eae837a	37	5oiR546w5Zyo5Zyo5ZOq5YS/77yf5LuA5LmI6YO955yL5LiN6KeB44CC
dialogue_map5_0005	exact	*	*	0e6ec1c05376aa164a469f92b5fe0a833754e3e89f1371496d1a2322020beb7c	198	5oiR5Y+v5Lul5biu5L2g77yM6JKC5bCU5b6344CC6K6p5oiR5oqK5L2g5omL5Lit55qE5rOV5Yqb5byV5a+85Ye65p2l44CC5oiR5b6I5pOF6ZW/6a2U5rOV77yM5Y+q6KaB6aG6552A6a2U5Yqb5rWB5Yqo77yM54K55Lqu5rC05pm25a6M5YWo5Zyo5L2g55qE6IO95Yqb6IyD5Zu05YaF44CC
dialogue_map4_0006	exact	*	*	0e7a59223d5281ebf05a284087adc9365ac589559ceffe52f24304e8d4febb16	43	5ZOH4oCm4oCm5oiR5Zyo5ZOq5YS/77yf5oiR5piP6L+H5Y675aSa5LmF5LqG77yf
collectible_meta_15_shortName	exact	*	*	0e9a7dcd73f3078d683a8a5a41f1c1761e4bd11ae533fe034b883581cf16bdc5	15	5p+Q5Lq655qE6K6w5b2V
dialogue_map0_0011	exact	*	*	0f9594de9df72c9f0e3d7eaaeb8295e6804fe9b814b3456d621e42bfbdc92b1b	76	5oiR5Zyo6L+Z6YeM5b6F5LqG5LiA6Zi15a2Q5LqG44CC5L2g5piv5paw5p2l55qE77yM5oiR5bqU6K+l6IO95biu5LiK5b+Z44CC
dialogue_map9_0013	exact	*	*	0fda4ef742ef14ee69a2ab54579856cfa6e1b197317ea7dd49c847a2cb7f150e	20	5ZOH4oCm4oCm566X5LqG77yM5rKh5LqL44CC
level_05_flavorText	exact	*	*	103d974673075e90f24d378d0ad835d8536344740f3a8e0e5b412c30c0dca4ce	43	THV477yB5L+d6K+B6K6p5oi/6Ze0PGk+5Lqu6LW35p2lPC9pPu+8gQ==
level_08_levelName	exact	*	*	108a9f2c35b06cfb0c7cf0b00b211bbbb0cb6f0946e5aa3e6944043ea577ed8c	15	5b2p6Jm56ZiF6K+7
il_d4d566eb17cbfc72	exact	*	*	135653f7244508a6454ee2297cf547e72d4b0800c3ea06714317a89a5aee1a8b	17	CueugOaYk+aooeW8j+W3suW8gOWQr+OAgg==
term_Wayzgoose	exact	*	*	14212a68f293e56f29fd40323961f14faf03e725b74af62ade13dc3559c8fc00	9	6Z+m5YW55Y+k5pav
dialogue_map0_0012	exact	*	*	14792e05123442262c78d1d528160004eb7c71fd87a8fab51141610f1114eb1c	55	55yf55qE5ZCX77yf5aW95ZWK77yM6YKj5Y+v5biu5aSn5b+Z5LqG44CC5oiR5Lus5LuO5ZOq5YS/5byA5aeL77yf
dialogue_map10_0004	exact	*	*	16d1e6d7f2ef34866d36ff75286b34038b454265b17df528caac65e85e0c0ac9	212	5oiR5Zyo5Zu+5Lmm6aaG6YKj6Ze05bCB552A6ZSB6ZO+55qE5bGL5a2Q6YeM5pe277yM5rKh6KeJ5b6X5LuW5Lus6JeP5Zyo6YKj6YeM44CC5rKh5pyJ6ISa5Y2w77yM5LuA5LmI6YO95rKh5pyJ44CC6ICM5LiU5LuW5Lus5pei54S26IO96L+b6L+Z5pys5Lmm77yM5bCx6K+05piO5Lmm5ZKM5LyK5YWL5pav5piv5pyL5Y+L77yB
term_Masked Owl	exact	*	*	1767b3ae039f37cbddfadf9cef1557f42669438090156eb7612f588fbefdeaf0	10	6JKZ6Z2i54yr5aS06bmw
collectible_meta_15_inGameOrigin	exact	*	*	17ce096eee05485d6cf1b29ce5e04421dbac2f808e611939b36486163edee99f	9	5p2l6IeqIDEtNmI=
dialogue_map8_0021	exact	*	*	18e2afce65c8ff2bb3616445e1973da986b48f90b45f44cfac503a715f5e388e	48	6YKj5bCx5Yir5rWq6LS55pe26Ze05LqG77yM5bim6Lev77yM6JKC5bCU5b6377yB
dialogue_map8_0005	exact	*	*	1a1a1ac739ef999fa2304bbd20b53c74971e413aa5ab4fc4081a4b4eafb1f084	7	562J562J4oCm4oCm
il_656d49ec603bdf97	exact	*	*	1ada1bba4e4c318c84c17e202dc6db09ec992e816447fec95d12fa4dcbdcfcfc	30	5L2/55So5oqA6IO95Lya5raI6ICXIFNQ44CC
dialogue_map4_0012	exact	*	*	1ca4121225292966ebc015f940a7b77d00106ec89e3870e3eec6cb4f5878a180	13	5Zev5Zev5Zev77yM5L2g5aW977yf
dialogue_map4_0026	exact	*	*	1ed1e0b05599d212d0cf668e23f3acadc3da20344f6d6962211538468cbe7b61	207	5ZCs552A77yM6JKC5bCU5b6344CC5L2g5oqK5oiR55qE56y85a2Q5omT5byA77yM5oiR5bCx6IO95biu5L2g5om+5Liq5a6J5YWo55qE5Zyw5pa55pqC5pe25LyR5oGv44CC5oiR5L+d6K+B5LiN5Lya5oqK5L2g5bim5YGP77yM5L2G5L2g5b6X5b+r54K577yM5Y2x6Zmp55qE5Lic6KW/5b6I5b+r5bCx5Lya6L+95LiK5p2l44CC5piO55m95ZCX77yf
collectible_meta_04_shortName	exact	*	*	1f92921fad6b067a5cd2aefab904bcb29a71929cafa9ae21362c2bf6c8f1d31f	12	5pel6K6w6aG1IDM=
dialogue_map11_0014	exact	*	*	1f930fd16c343056a405422c7df12845114de7ca6852d4bc1a872b882ec2cec7	122	5L2g6YKj5Y+q5a6g54mp5bCP6Z2i5p2h6K+05b6X5a+544CC5L2g55yf55qE5b6I56yo77yM6JKC5bCU5b6377yM6ICM5LiU5L2g5qC55pys5LiN55+l6YGT5o6l5LiL5p2l5Lya6Z2i5a+55LuA5LmI44CC
level_13_flavorText	exact	*	*	24b52c20cd3c518653652f0f93aba3a94abe6b7f1d6387ec8cc22a148d6c9cb6	30	56m/6L+H5qOu5p6X77yM5b+r6LeR77yB5b+r6LeR77yB
collectible_meta_02_inGameOrigin	exact	*	*	25128dcdd65c309bc9343d75364c99c1454ed7669ab8acbf883565e101fd09d9	8	5p2l6IeqIDAtMw==
dialogue_map0_0010	exact	*	*	25b5a814721d642b8e70da161fdb968ea686bcf923e50efa5b89841f37d777c7	79	5ZGD77yM5L2g5aW944CC5oiR5piv6JKC5bCU5b6344CC5bCx5om+54K55Lic6KW/77yM6ams5LiK5bCx6LWw44CC
dialogue_map2_0008	exact	*	*	25e6a1a26fb76c3204f0709afae8f53fd6b8e2de4676726302886a40fef4b45e	31	6LCi6LCi77yB5Y+v5oiR55yL5LiN6KeB5L2g44CC
dialogue_map1_0015	exact	*	*	26dcc0d8f55f33d14df92d66fbb222b24cc2c60a787c209ad2b29e983b05df22	114	6YKj54K55bCP5paH5YW35biu5LiN5LqG5L2g77yM5Yir5oOz552A5ZKM5Lu75L2V5Lic6KW/5omT5p6244CC6KaB5piv5pyA5ZCO5oiQ5LqG5ZWu6b2/5Yqo54mp55qE5Y+j57Ku77yM5oiR5Y+v5pWR5LiN5LqG5L2g44CC
collectible_meta_05_shortName	exact	*	*	26ff00dd1e20ab3d5cf253af7c8db0db42ec38e4c477753cbece8155999eee11	12	5pel6K6w6aG1IDQ=
dialogue_map1_0009	exact	*	*	276adede523c571e15381aecd51801c5ace7b4f7e6c62f15a5bdaf9d342e38c2	54	4oCY6a2U5rOV6Zqc56KN4oCZ77yf5oiR5rKh5ZCs6L+H6L+Z56eN6K+05rOV44CC
dialogue_map7_0004	exact	*	*	28c09ed28358ffde626f9bd1b902d56108a3e618225ed7310c34604a1bccb3e1	28	5L2g5bCx5LiN6IO96Ieq5bex6LWw5byA5ZCX77yf
dialogue_map11_0041	exact	*	*	2a579daa520b1cff63d2d115fd423c8e17d34a284bade31e2ea49dc62216a87f	28	6Z+m5YW577yM5oiR6LWM5a6D5Lya5Ye65biD44CC
dialogue_map9_0007	exact	*	*	2bdb046841a838eed4f72ce162e2ac59462252f89bbc2f95033bcbdacb55df30	12	5ZOI5ZOI5ZOI5ZOI4oCm4oCm
il_c89130a87907d6ab	exact	*	*	2c0e7663426818fef5c3271274ba6986bf078c2305e8fa39bd435ae515c3de7c	17	5pS26ZuG5YWo6YOo56yU6K6w
level_10_levelName	exact	*	*	2c6d726665c9b64e4f85624e31e301121cf36a5d9c3522f2f68220e47917aab6	13	572X5aGe5aGU6Zeq6ICA
level_01_flavorText	exact	*	*	2c8896f8fc216e7d06b4e10dbd117485358e66317503ebe3978f0892398415e1	55	5pyJ5Lqb5Lq65pa95rOV5pe277yM6Lef5LiN5LiK6Ieq5bex55qE5bm057qn44CC
collectible_meta_06_inGameOrigin	exact	*	*	2d8915a2bde6068ba687e78c561f5b4c18391035387a945943244931abe45dce	9	5p2l6IeqIDEtM2E=
term_Sigil	exact	*	*	2dadf0e96594ba872327cd8cb48e45e471dcef191fd36a8dfeef398f094a2f93	5	56ym5Y2w
dialogue_map6_0002	exact	*	*	2de5b6ca868f18ef60ccb1397abe332834e3d7cb69b0f6ab959c1b5468114070	100	562J5a2p5a2Q5Lus5LuO5aSp6Iqx5p2/5o6J5LiL5p2l6L+Z5aWX5rWB56iL77yM5YaN6I2S5ZSQ5Lmf5LiN5Lya6K6p5oiR5Lmg5oOv44CC
il_f66affb72af23ddc	exact	*	*	2e44255d1e61c38c898a1238a8f70930741693158607f2713b47717d4c50e3f4	41	5Y2V5L2N6I635b6XIDEwMCDngrnnu4/pqozlgLzlkI7kvJrljYfnuqfjgII=
collectible_meta_11_inGameOrigin	exact	*	*	2e4e68f8b396a1bc9b01bff265e832111d222a63c49abe1838d3d0c10ca515c4	9	5p2l6IeqIDEtNWE=
level_11_flavorText	exact	*	*	30b8476d529edfafedd64fad4a6350881ebbdaad18078f9fdc5867c2324d8703	34	5oiR5ZCs6K+057uI54K55pyJ5aW26YWq44CC
dialogue_map7_0002	exact	*	*	310b6e62c3d72b866608ae77f197b9d9f524f636a473e22b72fd5a34bf5d5c29	49	6L+Z54mH5qOu5p6X5aW96K+h5byC4oCm4oCm5L2g5Li65LuA5LmI5L2P5Zyo6L+Z6YeM77yf
dialogue_map10_0005	exact	*	*	315eaa3568cf3bc23c29ddde2717ae0dfc249002f724bc9067ee9bc44c1f15e1	93	5LuW5Lus5ZKM6L+Z5pys5Lmm54af5oKJ5Yiw6IO957uV6L+H6ZSB6ZO+6L+b5YWl5YW25Lit4oCm4oCm
collectible_meta_10_inGameOrigin	exact	*	*	31a7ac18946e9c1008147acf130353ba6c969e9eaba8b4ac318373ed8044f180	8	5p2l6IeqIDEtNA==
dialogue_map4_0022	exact	*	*	32d84b37969af12e725a369bd4cb5dc5897e47d3c0d1a7ace1299829374311fc	76	5LiN5Lil6YeN77yM5oiR6IO96LWw44CC6L+Z5Lmf5piv5biu5oiR57uD5Lmg6a2U5rOV55qE6K6t57uD5ZCX77yf
dialogue_map10_0006	exact	*	*	33c5b121202017831be200899c0be600ab8f322a05d0881be083d7e455ded847	27	5oiR6K6o5Y6M5LuW5Lus77yM6ICM5LiU5LuW5Lus6Lqr5LiK5pyJ6IKh5ZGz44CC
dialogue_map3_0035	exact	*	*	34621f0d50c83c4de241348b5c775b75e0ba31c149df2d2b6ac0decc370fccfb	5	562J562J77yB
dialogue_map1_0018	exact	*	*	34beeb106c9239947378cb44dcbbaff4b8b92f557c04fc4da15caad80f63caea	70	5Zu+5Lmm6aaG6YeM5Yiw5bqV5pyJ5LuA5LmI5Lic6KW/77yM5piv5LiA5pSv56yU6Ziy5LiN5L2P55qE77yf
dialogue_map6_0003	exact	*	*	3642255e10cbac64aabaa030c4319aa1336de4a47359038e2ca2400e283cdf92	133	6YKj5Lqb5bCP5YaS6Zmp5a6277yM5LiA5Liq5Liq6IOG5aSn5Y+I5aSp55yf44CC6L+Z5pys5Lmm5LiN5piv5a2p5a2Q6K+l5p2l55qE5Zyw5pa577yM6JKC5bCU5b6344CC5L2g5LiN6K+l5p2l6L+Z6YeM44CC
dialogue_map6_0005	exact	*	*	3674b06ce5b570583c308ff73cd575c79dc9a55965e85b742eaeeb4b3ca8c67d	152	562J562J77yB5Lmf6K645oiR5rKh54yc6ZSZ77yM5L2g5bCx5piv5oOz57uR5p625oiR44CC5oiW6ICF5oqK5oiR5byV5Yiw5p+Q5aSE77yM5YaN5a6z5q275oiR77yB5L2g6a2U5rOV6L+Z5LmI5aW977yM5bCx5piv5Zug5Li65L2g5ZCD5bCP5a2p77yB
collectible_meta_06_shortName	exact	*	*	36b307485e4af7bfa12111c267952bb239d84b49844ea32a66120c8273b504a2	12	5pel6K6w6aG1IDU=
dialogue_map3_0012	exact	*	*	38cc815bafaa369df582729806f9666f213afdb1f523fbeca4745e670140fcf4	38	5L2g5bCx5piv5LyK5YWL5pav6K+055qE6YKj5pys5Lmm77yf
dialogue_map11_0013	exact	*	*	39034a55cc9f667b18bcaf746fea50f319a8f40499ac7ea4653c748c75a8216d	9	5aSq5pma5LqG77yB
dialogue_map7_0007	exact	*	*	3c99c09c2d29767f6d1fbd50c482f0e76df311437aa111ab083e99b4cae45781	167	5oiR5rKh5pyJ5Y+v5Lul6KGM6LWw55qE5omL5q6177yM5bCx5peg5rOV56a75byA77yM5Y+q6IO95L2P5Zyo6L+Z6YeM44CC5bC9566h5oOF5Ya15aaC5q2k77yM6L+Z6YeM55qE5rCU5YCZ6IiS6YCC5a6c5Lq677yM5Lmf5b6I5a6J6Z2Z44CC
dialogue_map11_0009	exact	*	*	3d35ccb939bd7ff1c6bd76b0b0c3b3a8ae2b8a4bd181c7d5c9f85c386c8640ee	157	5ZSJ4oCm4oCm6Z+m5YW55Y+k5pav77yM5L2g5pWZ6L+Z5Lqb5a2p5a2Q56S86LKM5pe26LaK5p2l6LaK5YG35oeS5LqG44CC6L+ePGk+5L2g5aW9PC9pPuWSjDxpPuiwouiwojwvaT7pg73msqHmnInigKbigKbkvaDku6zkuKTkuKrpg73orqnmiJHlpLHmnJvjgII=
dialogue_map8_0018	exact	*	*	3e5729ef8b76ccc53bbb1d399bb94bd11868ff42298a4eab83c32fa002f0af68	34	562J562J77yB6JKC5bCU5b6377yM5L2g5Zyo6L+95LuA5LmI77yf
level_00_flavorText	exact	*	*	4060a680af226425fd931357e5e7e7e859b3511dd7a7f5cd621b9de0fa55c915	42	5L2g5Zyo5YGa5LuA5LmI77yf5L2g5LiN6K+l5p2l6L+Z6YeM44CC
term_Erratum	exact	*	*	4066060364e27e5be30e5e6718054b7d383699d0c95995b2b964b0cab56b4880	7	RXJyYXR1bQ==
dialogue_map7_0009	exact	*	*	407fc3d77d7ef0cdcd58709bd4bbe271ba60f7293d8356484e0cc1d7c782b605	114	5aaC5p6c56a75byA77yM5oiR5oiW6K645Lya5oOz5b+16L+Z6YeM77yM5L2G5oiR5LiN6K6k5Li66LCB5rOo5a6a6KaB5rC46L+c5b6F5Zyo5ZCM5LiA5Liq5Zyw5pa544CC
il_7a53259808e1c402	exact	*	*	42b639cf0fe48e6eeefe10bebb49a3e669aa1e3d7d737b50bcd5cc3921cc4477	8	5p2l6Ieq77yf77yf77yf
il_6dc36c988813e038	exact	*	*	447532b527be8a1224eba05d798c0d0b128dda5c4499ef07feaaadac5c7d38c1	47	QVZPIOeUqOS6juWGs+WumuaUu+WHu+aYr+WQpuiQveepuuOAgg==
dialogue_map3_0006	exact	*	*	44c6aa314f5ff0c40c37dac11ec0d4e3a791d26025ef68ad4d7e06a9f58614e6	24	6IGq5piO55qE55u06KeJ77yM5a2p5a2Q44CC
dialogue_map1_0020	exact	*	*	45889cb52e79a80fb9915fa4a7929cdec91aad20322ea0687503900b93b2b6df	19	5ZOH77yB6YKj5piv5LuA5LmI77yf
dialogue_map4_0032	exact	*	*	458e8cf6a9cd8472d1d5bcb013c39f75cf78e21569ff8187834a1bcdb125a358	112	5aSq5aW95LqG77yB6LCi6LCi5L2g77yM6JKC5bCU5b6377yB5o6l5LiL5p2l5LiA55u05b6A5YmN77yM5om+5Yiw6IO95oqK5oiR5Lus5Lyg6YCB5Ye65Y6755qE56ym5Y2w44CC
il_cfd692d02238cbf5	exact	*	*	45fc7ab6848020abf6f0036c08968230fcb82e050e19d51026c20da36cff1bee	34	QUVSIOeUqOS6jumAoOaIkOmtlOazleS8pOWus+OAgg==
dialogue_map11_0042	exact	*	*	46a54463a561ce9cce93a37de3242589b559cec054f858844d3f956c666c8317	57	6JKC5bCU5b6377yM546w5Zyo57ud5a+55LiN5piv5byA546p56yR55qE5pe25YCZ77yM5oiR5Lus5b6X6LWw77yB6ams5LiK77yB
dialogue_map9_0012	exact	*	*	494fec582ddf775aa043945077f4b20fa4d98e202fa322e2ad75a0ccdf41b9c0	179	5LuW5Lus6L+Y5pyJ5LiA5omH5bim6ZOB5Lid572R55qE5aSn6Zeo77yM55So5p2l5oyh5L2P6Zev5YWl6ICF44CC5pyJ5LiA5qyh5pel6JC95pe25LiL552A5aSn6Zuo77yM5oiR5beu54K55pKe5LiK5Y6744CC4oCY55aP5b+94oCZ5piv5LuA5LmI5oSP5oCd77yf
level_13_levelName	exact	*	*	49f287879affcaf1e82dd6858d3feb2728da82711fa7fdb95d3a2a269569e3de	10	5ouU6IW/5bCx6LeR
collectible_meta_08_shortName	exact	*	*	4a963bc2fea4ae355ebe5a7266df9062035f125931c4b7022bf306367c2f526b	8	5oCq54mp5Zu+6Ym0
dialogue_map4_0004	exact	*	*	4b0c40bd00c00e70e014c2e3335dbd98df1abae1e91215d8e632f1be3b5b7008	12	5aSq5qOS5LqG4oCm4oCm
collectible_meta_08_inGameName	exact	*	*	4d15cb66cd28bcf41259642efcbaf8146f727d3828c8229787588ea6844b87ef	24	5p+Q5pys5oCq54mp5Zu+6Ym055qE5q6L6aG1
il_2366ef63760bef0a	exact	*	*	4d8357a012e7ce000781115d20bda7da7f015976d330b922005eafa6b1bff0fc	26	5pyJ5YW25LuW5Zyw5Zu+5Y+v55So77yB
dialogue_map5_0017	exact	*	*	4e52a7135f5df0185e939939506e1174b16cb952c441996869ed117a37849824	58	5LuA44CB5Yir55u06KeG5a6D77yM5Lya54G85Lyk5L2g55qE6KeG572R6Iac77yB
dialogue_map6_0006	exact	*	*	4e53482fbfca4013be87add9a0c7b07ba0ee33a612654b72898bb46ff27ea759	118	5L2g6K+05LuA5LmI77yB5oOz6YO95Yir5oOz44CC5oiR57ud5LiN5Lya5pWF5oSP5oqK5Lu75L2V5Lq65byV5ZCR5q275Lqh77yM5pu05L2V5Ya16L+Y5piv5a2p5a2Q77yB
level_05_levelName	exact	*	*	4e9619dd78b8a3e31d97df15ec4ec0ec6e8480943cd111a7b6b4ecc389f1d049	16	6Zeq5Lqu6aKE6KeI
il_f3cfec887d3894ae	exact	*	*	4f3925384368d193c83c925ecb71de40e3db29faee4f2954a27b51f7af8127a9	17	6LCD6K+V5qih5byP5bey5byA5ZCv44CC
dialogue_map6_0011	exact	*	*	4fb811fdb4eaed25e1d0037e49036e4dedf15814383277ce6c2fd70ef9d43c0c	15	6ZqP5L6/5L2g77yM6Jmr5a2Q77yB
dialogue_map5_0010	exact	*	*	506a0b560ed680000e08847c4109a20ec1200e988461514cdac6eefc2a2c0f9c	8	55yL5aW95LqG77yB
collectible_meta_13_inGameOrigin	exact	*	*	50801e1876bffd573a867eb695f4a6e3cdcd1273508c8671deba26215a48499f	9	5p2l6IeqIDEtNmE=
collectible_meta_11_shortName	exact	*	*	5118f76d9067edc593d6946b88693cefa6604c7e613111193db118166d4af589	8	6IOM5YyF
dialogue_map1_0026	exact	*	*	51a86b94a69fcdd43d771acef32a129bf2f2d4972fa1ef553286de8321731ece	10	5LuA5LmI6YO95rKh5pyJ4oCm4oCm
dialogue_map1_0024	exact	*	*	52f3a3162cb98aa115ecb0b87f950a19784192b6690e7bd852a4baa1f93a26b2	9	54Gr55CD77yB
collectible_meta_07_inGameName	exact	*	*	5357f829e4287033ff3f6b23e93bf2e561203140f1722ed309977c9eb9ae1bc4	18	5bim5rOo6YeK55qE6a2U5rOV5Lmm
dialogue_map0_0016	exact	*	*	54427cd0ce4a02aafde53afd97abad7832315cd77fa35c21b8dd9e3488c66b69	123	5a6M5YWo5LiA5qC344CC6LWw6L+HPGI+6ZKl5YyZPC9iPuWwseiDveaKiuWug+S7rOaNoei1t+adpe+8geWGjeeUqDxiPumSpeWMmTwvYj7noLTlnY/ov5nkups8Yj7nrKbljbA8L2I+44CC
dialogue_map8_0006	exact	*	*	54981c2b41d4d6be233e6aa858efaae55ee7c907eae9b70dec94d33e69def358	46	6YKj5piv5LyK5YWL5pav5ZCX77yf77yB5L2g6L+Z5Liq5re36JuL77yB5L2g5a+55oiR5YGa5LqG5LuA5LmI77yf77yB
dialogue_map5_0007	exact	*	*	549b528acce8c129bdf38ae6dec8d0b42ad4d5a950bfea9e1e3c7dca7bb5a1f2	88	5Yir5Zyo6buR5pqX6YeM5bmy562J552A6IOh5oCd5Lmx5oOz5LqG44CC5ou/6LW35rC05pm277yM5oiR57uZ5L2g56S66IyD44CC
dialogue_map4_0013	exact	*	*	54aa6ab54cf759176208641dafab82992196da047b947b5fea45db226d4c3f85	17	5pyJ5Lq65Zyo5ZCX77yf
dialogue_map5_0002	exact	*	*	54d54b413791769932b1fce9f8d16ade39c2705150debe0ee08fdd035fa37763	107	5Yiw5aSE6YO95piv5aKo5rC05oCq77yM5oiR5Yeg5LmO55yL5LiN6KeB5Zyw6Z2i44CC5pyJ5LuA5LmI6IO95biu5biu5oiR5Lus5ZCX77yf
dialogue_map9_0011	exact	*	*	54e259928fe9d39f690d5c0ef6a687dfd2d5771afc2ee902fd3475633c418d8c	179	5oiR5oOz6YKj5piv5oiR54i354i355qE5Zyw77yM5LuW5Lus55+l6YGT5qCR5p6X6YeM5rKh5pyJ57uR5p6254qv5LmL57G755qE77yM5omA5Lul5oiR5LiA5Liq5Lq65Zyo5a625pe277yM5LuW5Lus5Lya6K6p5oiR5oOz5bmy5LuA5LmI5bCx5bmy5LuA5LmI77yM6LaF6YW355qE44CC
dialogue_map11_0023	exact	*	*	55b5e099d0772552263629ac1249c12367a4ba9c2cd1855f21c6f799de192004	26	5ZOm77yM5aSq5aW95LqG77yM6L+Y6IO955So4oCm4oCm
dialogue_map1_0022	exact	*	*	56723edcd935d4765276b152e8e4c03990edd9dd87863122cd85cddd74eb37ea	3	5ZOm77yB
